Message,MessageDate
nothing done injury,2024-01-08 21:52:16
Do we see any oly lifts in this,2024-03-06 01:35:28
"What's your goal Justin? 

You gotta pick conditioning/strength 

Or get good at bjj",2024-03-06 23:39:29
Am I able to do wensday first? Cause Bench press lol,2024-03-10 07:59:40
Also is it okay to add 20 mins of low intensity cardio on the back side?,2024-03-10 08:25:36
"For today the 11th. 

The decline row, my guess that's just a single Arm DB row?",2024-03-10 18:03:30
"This is full like proper S&C program! 

Does the Conditioning change?... also any biccie of the new track coming ?",2024-03-14 02:13:22
"Thanks Jarrod 😊 

I was looking at the fullbody. But is it possible to do the weight lifting Monday wensday Friday Saturday?",2024-03-14 02:29:16
Does the. Coaches actually come in an answer questions,2024-03-29 22:31:17
"Out of curiosity 

How long does the session take to complete on average",2024-03-29 23:16:17
Oh my God hey everybody,2024-03-30 22:23:49
Will training be updated  every day or week to week?,2024-03-30 22:25:01
Awesome. Man I'm keen. This is exactly what I've wanted,2024-03-30 23:33:59
"In crossfit for 20 cals it's usually scaled to 18 

To be most efficient on the bike have your seat as high as comfortable, an have your  seat positioned foward  that your arm is not over extended but not to short its about leverage. 

 An position your hands in the inside not on the outside. 

Drive with whole foot not the ball it's a push an pull movement.",2024-03-31 19:31:35
"Australian here. It's Monday. 

We have a 4 day weekend. 
Missus is sleeping an I'm planning out training this week lol",2024-03-31 19:33:33
"Review of first day, 
Everything works well. 💪 
Only thing I had trouble with is the raised hip thrusts. I just went to single Leg glute bridge. An stir the pot my gym doesn't have an exercise ball. Do I did ring planks for 15 seconds",2024-04-01 07:45:00
"I used a bench for the box squat lol. 

It's all I had available the time",2024-04-01 16:52:56
"Just realised. 

On the ski erg it says 10x15 an in the confirmed things it's got 8 sets. 

I just did 8",2024-04-02 06:43:38
"It will help but running is quite a different stimulus then  rowing or fam bike it's due to carrying your weight. 

I personally would do the full body days an then implement 2 running days a week.",2024-04-03 00:07:25
"I believe Normal 3 weeks that JB does. 

Y'all guys waking up, it's 5:31pm over here in straya",2024-04-03 06:32:15
"I had to only do 4 rounds, my lower  back was fried 🤣",2024-04-03 07:06:32
Just do it on the rower again but just pick 2 different split times,2024-04-03 18:57:32
Will there be any running cause I suck lol,2024-04-03 20:51:14
Is there any oly lifts that we do?,2024-04-04 02:35:53
"My goal is to do 4 sessions a week. 
3 metcons of anaerobic conditioning  after the weights (8-10 minutes of training ) an then on off days zone 2) or rest",2024-04-04 02:43:38
The hybrid stance deadlift. What muscles does it work,2024-04-05 01:36:41
Actually John the reps scheme on the box squat an the 2nd move,2024-04-07 01:21:37
"Log it as 8 reps

My right side is much stronger due to a nerve damage in.my.left side I still got 8 reps but I had to really work forit",2024-04-08 00:45:21
Would  doing farmers carrys with fat GripS enhance my grip strength,2024-04-09 07:26:42
"So got a quick question about the ski erg. 

How hard should I be breathing at the end of the 15 seconds? I wasn't overall taxed at all last week 

I had it on damper 10 an was pulling like a mad man",2024-04-09 20:38:44
Any recommendations for going back after 2 weeks of being sick?,2024-04-11 20:12:49
"Friday, the low handle sled push ft 100ft can I just dig low with the 2 uprights an push them like that",2024-04-18 19:55:17
Pike push up or stink bug,2024-04-25 04:33:44
Take the weekend off or just go for a light walk.  Recovery is super important,2024-04-26 22:06:33
How's everybody's feeling after this week's training?,2024-04-28 04:27:46
Hey guys. For the Landmine rotations. Is it an explosive movement? An what sort of loading?,2024-05-14 10:12:14
Thanks Sarah. Also Loading of the KB/band is it meant to be heavy or more speed work?,2024-05-14 18:55:54
Hi Ben. Not sure if I will get a response. But what RPE are these days usually done at,2024-05-19 18:11:27
Hey all. Lovveeee all the stuff.,2024-10-23 19:05:01
The jbc all acess is hot!!,2024-10-23 19:09:56
Is there anyway to turn off all the other channels?,2024-10-23 19:10:12
I can't decide if I want to do evolv or cxc,2024-10-24 02:01:12
Any suggestions,2024-10-24 02:01:25
"Ahy chance of  guide lines what to run until the 4th? 

I'm thinking this will be sufficient",2024-10-24 19:01:19
I'd say it will have cleans,2024-10-25 05:19:24
Seen the first day of 3cxc. Looks good,2024-10-30 08:13:01
I've currently haven't had any time off in the last 6 months. Would it be worth taking a week off  first before switching programs?,2024-10-30 08:18:07
For Tommorow. Is combining the band pull thru/windmills okay? To save time for the metcon?,2024-11-03 06:28:56
I also can't see conditioning for Tuesday/Thursday/Saturday,2024-11-03 06:29:23
How'd it feels I'm using the first week as a reload week. Doing the motions with 50%,2024-11-03 18:25:23
"I don't know if to do the 4 day, or the 3 day 🤔  any suggestions?

 Both work for me",2024-11-03 23:00:48
Closest to athlete rx this is? Yes,2024-11-04 22:51:22
"Don't have chains, just add 10% straight weight.",2024-11-08 03:55:33
"Hey guys Tommorow,  

Brst way doing the Sumo deadlifts without chains?",2024-11-13 18:58:44
Hey guys. How do I get signed up to the new community platform?,2025-03-16 22:23:35
"With the box step ups
What's a height we are looking at?",2025-03-17 00:41:04
Can confirm the lower is good. But hard. I didn't train the core portion tho,2025-03-17 07:38:15
"Time constraints & no ab wheel at my gym, an i don't think there's a sub for it",2025-03-17 23:26:01
"It won't be in every one. 
If you haven't done it before.",2025-03-19 18:54:06
"For the accessories 7-8 
Main sets pushing RPE9+

BUT read the notes as jbc is more on auto regulation. What feels heavy on that day is revelant",2025-03-19 23:31:23
Hey coach do you write back,2025-03-26 22:53:29
Love the programme,2025-03-26 22:53:37
"Hey guys. 

Doing the lower strength today. What % do I use for the  front squats I won't use the band",2025-05-06 03:34:44
"Hey guys. 

Doing the lower strength today. What % do I use for the  front squats I won't use the band",2025-05-06 04:01:44
"Are we able to swap THE BB to single leg?  DB? 

I don't have the experience of doing them only with DB",2025-05-12 00:44:45
What can I swap rotational RDL for? I just don't get a good stimulus in my hammies only my lower baco,2025-05-12 01:35:31
The barbell glute thruste,2025-05-12 04:30:33
Wondering... what's  can I swap the landmine Meadows row for & am i completing max reps on the complex? Or am I finishing at 12 reps on each?,2025-05-13 22:16:31
"What am I able to swap today's barbell Thrusts with? 

Would a  Dumbell single leg hip thrust be okay",2025-05-18 21:39:09
